review_id,review_date,reviews,product_id,ratings,order_id
ffe749e1-245c-4682-a4b2-61999911c8ee,2023-09-13,"Impressed beyond words, remarkable product",8GY5M75JD44,5,000611f6-cb64-47e9-93bd-22e4f8f12e4e
ffad0588-8377-48a9-9016-5fc9619d1723,2024-01-16,"Difficult to navigate the website, very confusing",1G44EJ8TJ08,1,0008d32f-dd4b-4c6b-a76d-40ef28cfb2db
ff87048f-cc27-481a-814a-919a35d8ce99,2023-11-12,"Best purchase ever, 5 stars",5PD3DD3YD39,5,004023f8-89c0-462d-8d0b-ebdaae4ac544
fef97dec-6abc-48ad-81fd-0d5e4ff22c5d,2023-12-13,No comment,6VT4TC0AD68,4,004c93e0-dfc1-4190-bba7-2a018079b354
fef53abc-3190-492d-ad66-217567c9c6da,2023-07-30,No comment,2H87T36CA52,4,0063c3f4-a9d2-44f4-a898-8a82cc7adb48
fe951c97-8d1d-4f35-bab2-eea7029d3538,2023-09-14,"Delighted with this purchase, perfect product",2TN6HQ7MQ38,5,00eb41d6-7f6d-4953-a3ee-c44fe375b0be
fda66184-a2ca-44d5-b25e-2aaaa0ff7de3,2023-03-14,"The quality is okay, but not exceptional",9RJ2QK3DE37,3,00f15828-2fea-4fb3-813e-584f8955ceac
fd971763-c539-4fbb-bdf6-b1160493df8e,2023-08-16,"Perfect, exactly what I needed",9GH0U79HG66,5,01ae2a94-759d-42a5-ad8a-d44a7b52fbd7
fd717de8-33eb-4ada-8a4c-024d0572e90e,2023-08-01,"This product has been a game-changer for me, highly recommend",2GX7HN1HG81,4,01e5df37-fc0f-4090-9763-8d11666c3bfe
fc5cffa9-463e-4dd4-8953-e209cdfcb837,2023-11-24,"It's satisfactory, but there's room for improvement",2CK5AX9KH72,3,01eb445a-274a-40ed-9243-719529efeb21
fc433f3a-4799-41ee-b886-dc484fb1b6d1,2023-05-21,"Very happy with this purchase, it's been a great addition to my life",9YG9C07CV47,4,020b84c1-e10d-4d36-8a5f-07901e40a66a
fc266d8b-2f86-436a-ba7b-22e8b8be9b66,2023-10-06,The product didn't match the size/color options chosen,5CQ1KE2YU33,2,02f693bf-e952-412a-a687-24c5bc8876be
f9db2704-d95c-4910-9fe8-75a922daf163,2023-06-30,I'm satisfied with the quality and performance of the product,6KM5WP3CW30,4,033d73e8-5008-49ae-b9f9-1e27542d681d
f9375617-341c-4d2c-b8cf-afac11f94f07,2024-01-14,"Delighted with this purchase, perfect product",3HA9HX7DX66,5,03718afe-c1bb-4b2b-a4cc-837087a6bf6d
f92ad677-f932-44a1-b710-9e2442f3fdbf,2023-08-15,"Outstanding product, highly recommend",9EU9K95PG07,5,037b0c7e-2ef2-430f-adf7-45da6ca0293f
f924cc3e-a64b-4ad7-8f15-3ec2130fc616,2023-09-18,No comment,1EK3HG2VD35,5,03a94f50-4a27-4ae7-8953-41fea5b04a57
f8ce5589-829b-4156-bca1-8915f9e99a4c,2023-07-02,No comment,6FR0E75YE74,5,03f2c521-f477-4212-9075-842321cd4269
f8973352-a5fe-4455-a6f1-8f7c2b7d6913,2024-02-14,"Couldn't be happier with this purchase, 5 stars",9A66H64FA64,5,03fe6505-7afa-4111-a2e0-10a18aa3cee9
f88f80aa-76e0-4988-81c0-82358ba5a682,2023-03-13,No comment,1MG5J33DQ09,5,044d5dba-3967-4dd5-8f7f-0fb67f5518a2
f7cec9dd-f568-4ac8-8d7d-f632b640fcc8,2024-02-03,"Thrilled with the quality, exceeded expectations",1WH9JU6CN73,5,0498f3e9-0607-4934-96b1-7f872ee11ecb
f7cb232c-15b0-45c3-af51-f9473c45f73f,2023-06-24,"Perfect product, highly satisfied",3HC3EC7NF29,5,04ba7863-1a42-445f-b929-cea693edd6a6
f7b9c45d-7347-4d28-9cea-da198b2030f5,2023-10-04,The product arrived quickly and was exactly as described,8Y34X61JM56,4,04eb5592-7525-42d9-a316-a494b4c8b997
f6e36241-6e0f-4e02-8a62-528102448637,2023-06-30,"Amazing value for money, 5 stars",4KF2XX1GT05,5,04fb44c4-9197-4e8a-a72a-0161da4e0b49
f6c86665-3965-44f3-969f-e94b17ef4753,2023-07-17,"Couldn't be happier with this purchase, highly recommend",4CF9AF4XA40,5,05063da1-5a7f-48b5-8f15-456c98341753
f6c618e4-e4fb-4793-8fd8-932b1641833e,2023-03-31,"Exceptional product, highly recommend",3HA9HX7DX66,5,05378fbc-74b5-4259-b18d-1f6bbf99d919
f6a2fd9d-3229-48c3-b5bc-61bb95491232,2023-07-18,Packaging was torn and item looked used,8YX4VY7CV78,1,055fdfe0-dc75-4765-a3e8-bba43c30d135
f5c981ef-00ba-475e-9636-545d3c38f644,2023-07-22,No comment,7V35PF7FA81,2,05852ff8-b289-4d83-b882-8c995c24ac1b
f58980de-118a-45d2-b02a-f8af7f9da84c,2023-03-31,No comment,1D54NM0XV43,4,05ce6c75-4a20-45d9-9497-83392c0b5458
f56a193d-fe5d-426b-9a94-e42a5e487be0,2023-06-12,"Couldn't be happier with this purchase, 5 stars",7XR1KY0NP64,5,06397d42-8f44-47ae-9414-c1ec827def1f
f5637e5c-6235-42be-b142-cdf5955c801f,2023-08-18,The product's advertised compatibility with other products was nonexistent,5U52CC8GH71,2,06828466-5303-4513-bf7f-1ada5cc75af2
f553ca8f-f50f-4cda-9ef3-a3318c1debd0,2023-08-10,"5 stars, would buy again without hesitation",3M83MY9QY56,5,068a6d3a-4e54-49fb-94f1-6bf2d0b46e69
f54f0901-fad5-49b9-b315-59b633744343,2023-03-04,"Horrible customer service, no response to inquiries",8H99HV5HU19,1,069bbc33-7cb7-429e-a37e-a0ad1b58920f
f44ec57d-1c4a-4c3c-90c0-f450e437fc6d,2023-10-02,No comment,1QV1FJ6KQ49,5,0716171c-fe6f-4045-8eaa-593eada725d7
f397bfd5-832a-479d-91cc-00d1fb4a8570,2023-09-10,"It's fine for everyday use, but don't expect too much",3T84VF4QD71,3,07de224d-997a-43d3-8c69-1ea17d220b95
f34a538f-14fb-415a-9687-2cff2a753bcb,2023-10-02,No comment,5TD5FY6VD00,1,084179ae-4f5a-4628-8ed4-ca21580412d4
f2f614a4-e638-46fd-a098-4020db55dd51,2023-05-19,"It's passable, but there are definitely superior options out there",2H07HR3AN89,3,08e5c28d-9d95-4107-b622-83fc82f36c50
f2dc01c6-5141-4aae-a642-5781d0e1b7f8,2023-03-22,It's a solid product that does what it's supposed to,1FV3NC3ND01,4,08f6979f-de60-4e69-849e-7027ce25b701
f2676610-8ba7-4aa2-8ec5-2cefcc10a296,2023-07-11,"Received an expired product, completely unacceptable",9YT2TY0MJ74,1,092f1da5-82df-4b3b-803a-ef9417f13453
f22743fa-9f72-4584-8760-5533726e97e6,2024-01-10,"Outstanding quality, couldn't be happier",5TJ3EK4JJ51,5,0a0bcf58-a8b8-4460-81aa-509e1883baa5
f19386df-f971-4ac4-8326-305bec6e51ad,2023-11-08,"It's adequate for basic needs, but there are some drawbacks",3D28T37MH89,3,0a201af6-56d0-46d1-b5ba-f34b147d273f
f170966f-26c8-42c7-b76f-5f62289a725b,2023-06-27,"Flawless product, exceeded expectations",1HR7MY3DP49,5,0aa7b3ef-b4c8-4045-a225-7e3e0bf2029b
f1014579-2f37-4ad3-af43-71be62f1c4ef,2024-02-15,"The product exceeded my expectations, especially for the price",7W90KM8PY34,4,0b1d6d9c-bcff-4ba8-b46e-1cf9c0bc0ab9
f0c30555-1cc6-4ea2-89cd-08e556657343,2023-11-15,"Customer reviews were misleading, not accurate at all",6WC7WC7HJ83,1,0b21b4e1-46bc-41e2-8e06-63328517fffc
f0217915-5d0e-4c51-b4c7-f11097bcd1a4,2024-01-15,"It's satisfactory, but there are some areas that could be improved",5MN2A10FG43,3,0b8f53d5-6909-481e-8045-c43e8adcd4eb
f0060d9b-b1ec-4885-84e1-aff208cdd49e,2023-03-21,No comment,9T24WQ4AW08,5,0b9fcb70-3357-4039-9794-1b4bd557f2e1
